date,borough,Retail & recreation,Grocery & pharmacy,Parks,Transit stations,Workplaces,Residential
2020-08-19,Waltham Forest,-16.28571429,-13.28571429,22.5,-46,-46.42857143,12.14285714
2020-08-20,Waltham Forest,-15.42857143,-13,10.33333333,-45.85714286,-46.14285714,11.85714286
2020-08-21,Waltham Forest,-14.85714286,-12.42857143,11,-46,-46,11.85714286
2020-08-22,Waltham Forest,-14.14285714,-12,29,-45.57142857,-45.57142857,11.57142857
2020-08-23,Waltham Forest,-13.57142857,-11.42857143,,-45.14285714,-45.28571429,11.42857143
2020-08-24,Waltham Forest,-12,-10.57142857,,-44.71428571,-45,11.28571429
2020-08-25,Waltham Forest,-11.85714286,-10.85714286,,-44.85714286,-45.28571429,11.28571429
2020-08-26,Waltham Forest,-9.428571429,-9.571428571,,-44,-44.85714286,10.85714286
2020-08-27,Waltham Forest,-10.14285714,-10.28571429,,-44.28571429,-44.85714286,11
2020-08-28,Waltham Forest,-9.714285714,-10.14285714,,-44.28571429,-44.85714286,10.85714286
2020-08-29,Waltham Forest,-9.714285714,-10,,-44.42857143,-45.28571429,10.85714286
2020-08-30,Waltham Forest,-9.142857143,-9.714285714,,-44.14285714,-45.57142857,10.71428571
2020-08-31,Waltham Forest,-8.285714286,-10.42857143,,-45.42857143,-48.28571429,11.28571429
2020-09-01,Waltham Forest,-9.428571429,-9.142857143,,-44.85714286,-48,11
2020-09-02,Waltham Forest,-12.14285714,-8.285714286,,-45.28571429,-47.85714286,11.14285714
2020-09-03,Waltham Forest,-12.14285714,-8.285714286,,-44.71428571,-47.42857143,11
2020-09-04,Waltham Forest,-11.85714286,-8.285714286,,-44.28571429,-46.85714286,10.71428571
2020-09-05,Waltham Forest,-10.85714286,-7.714285714,,-43.57142857,-46.71428571,10.71428571
2020-09-06,Waltham Forest,-10.28571429,-7,,-43.57142857,-47,10.85714286
2020-09-07,Waltham Forest,-13,-5.714285714,,-41.71428571,-44,10.14285714
2020-09-08,Waltham Forest,-13.28571429,-5.857142857,,-41.28571429,-43.71428571,10.14285714
2020-09-09,Waltham Forest,-13.28571429,-6,,-40.28571429,-43.28571429,9.857142857
2020-09-10,Waltham Forest,-12.42857143,-5.285714286,,-39.42857143,-43,9.571428571
2020-09-11,Waltham Forest,-12.14285714,-5.285714286,78,-38.57142857,-42.85714286,9.428571429
2020-09-12,Waltham Forest,-12.28571429,-5.142857143,64.5,-38,-42.57142857,9.285714286
2020-09-13,Waltham Forest,-12.28571429,-5.142857143,84.33333333,-37.28571429,-42.14285714,9.142857143
2020-09-14,Waltham Forest,-12.57142857,-5.142857143,90.25,-36.57142857,-41.28571429,9
2020-09-15,Waltham Forest,-12.57142857,-5.285714286,91.4,-36,-40.42857143,8.857142857
2020-09-16,Waltham Forest,-12.57142857,-5.142857143,89.5,-35.57142857,-39.85714286,8.857142857
2020-09-17,Waltham Forest,-13.14285714,-5.285714286,89.28571429,-35.85714286,-39.42857143,8.857142857
2020-09-18,Waltham Forest,-13.42857143,-5,89.28571429,-36.14285714,-38.85714286,8.857142857
2020-09-19,Waltham Forest,-13.14285714,-5,88.71428571,-36.57142857,-38.57142857,9
2020-09-20,Waltham Forest,-13.14285714,-4.857142857,87.14285714,-37,-38.42857143,9.142857143
2020-09-21,Waltham Forest,-13.14285714,-4.714285714,84.28571429,-37.14285714,-38.57142857,9.142857143
2020-09-22,Waltham Forest,-13.28571429,-4.571428571,82.57142857,-37.28571429,-38.71428571,9.142857143
2020-09-23,Waltham Forest,-14.14285714,-4.857142857,72.28571429,-37.85714286,-38.71428571,9.428571429
2020-09-24,Waltham Forest,-14.57142857,-4.857142857,64.85714286,-38,-38.57142857,9.714285714
2020-09-25,Waltham Forest,-15.28571429,-5,55.57142857,-38,-38.57142857,10
2020-09-26,Waltham Forest,-16.28571429,-5.142857143,47.71428571,-38.71428571,-38.85714286,10.28571429
2020-09-27,Waltham Forest,-17.57142857,-6,34,-39.71428571,-39.57142857,10.71428571
2020-09-28,Waltham Forest,-17.57142857,-5.857142857,30.85714286,-40.28571429,-39.28571429,10.85714286
2020-09-29,Waltham Forest,-18.14285714,-6.142857143,24.71428571,-40.57142857,-39,11.14285714
2020-09-30,Waltham Forest,-17.85714286,-6.285714286,25.71428571,-40,-38.85714286,11.14285714
2020-10-01,Waltham Forest,-17.42857143,-6,28.28571429,-40.14285714,-38.28571429,11
2020-10-02,Waltham Forest,-19,-7.428571429,23,-40.42857143,-38,11.14285714
2020-10-03,Waltham Forest,-19.28571429,-7.571428571,21.14285714,-40,-38,11.28571429
2020-10-04,Waltham Forest,-20,-8.142857143,14.57142857,-40.28571429,-37.85714286,11.42857143
2020-10-05,Waltham Forest,-20.57142857,-8.714285714,9.142857143,-40,-37.71428571,11.57142857
2020-10-06,Waltham Forest,-20.28571429,-8.428571429,8.142857143,-40.14285714,-37.57142857,11.42857143
2020-10-07,Waltham Forest,-20,-8,12,-40.85714286,-37.14285714,11.28571429
2020-10-08,Waltham Forest,-20.71428571,-8.571428571,7.714285714,-40.57142857,-37.28571429,11.28571429
2020-10-09,Waltham Forest,-19.28571429,-7.428571429,13.85714286,-40.28571429,-37.14285714,11.14285714
2020-10-10,Waltham Forest,-18.71428571,-7.285714286,16.71428571,-40.42857143,-36.71428571,11
2020-10-11,Waltham Forest,-17.14285714,-6.285714286,28.42857143,-39.42857143,-36,10.71428571
2020-10-12,Waltham Forest,-17.42857143,-6.571428571,26,-39.71428571,-35.85714286,10.71428571
2020-10-13,Waltham Forest,-18.57142857,-7.857142857,20.85714286,-39.85714286,-35.85714286,10.85714286
2020-10-14,Waltham Forest,-18.71428571,-7.857142857,19,-39.85714286,-35.85714286,11
