date,retail_and_recreation,grocery_and_pharmacy,parks,transit_stations,workplaces,residential,StringencyIndexForDisplay,newCasesBySpecimenDate,newDeaths28DaysByDeathDate
2021-07-21,-29.0,1.0,48.0,-46.0,-45.0,12.0,23.15,4783.0,8.0
2021-07-22,-28.0,2.0,53.0,-45.0,-46.0,12.0,23.15,4313.0,7.0
2021-07-23,-30.0,-1.0,35.0,-43.0,-45.0,11.0,23.15,3927.0,10.0
2021-07-24,-35.0,-11.0,-4.0,-35.0,-12.0,3.0,23.15,3118.0,5.0
2021-07-25,-35.0,-19.0,-14.0,-36.0,-10.0,2.0,23.15,2881.0,5.0
2021-07-26,-25.0,-1.0,53.0,-47.0,-51.0,13.0,23.15,4042.0,8.0
2021-07-27,-29.0,-6.0,22.0,-48.0,-51.0,14.0,23.15,3905.0,3.0
2021-07-28,-32.0,-10.0,-1.0,-49.0,-50.0,14.0,23.15,3964.0,12.0
2021-07-29,-25.0,-1.0,43.0,-46.0,-49.0,12.0,23.15,3902.0,11.0
2021-07-30,-33.0,-7.0,-11.0,-45.0,-49.0,13.0,23.15,3356.0,13.0
2021-07-31,-33.0,-11.0,-7.0,-33.0,-12.0,2.0,23.15,2670.0,8.0
2021-08-01,-27.0,-13.0,16.0,-32.0,-9.0,1.0,23.15,2693.0,9.0
2021-08-02,-24.0,-4.0,40.0,-47.0,-52.0,13.0,23.15,3987.0,9.0
2021-08-03,-27.0,-6.0,32.0,-47.0,-52.0,13.0,23.15,4033.0,6.0
2021-08-04,-26.0,-5.0,45.0,-46.0,-51.0,12.0,23.15,4294.0,13.0
2021-08-05,-29.0,-7.0,10.0,-47.0,-51.0,13.0,23.15,4295.0,16.0
2021-08-06,-33.0,-7.0,-2.0,-45.0,-49.0,12.0,23.15,3731.0,8.0
2021-08-07,-35.0,-15.0,-21.0,-35.0,-14.0,3.0,23.15,3015.0,8.0
2021-08-08,-31.0,-16.0,-6.0,-34.0,-10.0,1.0,23.15,2915.0,7.0
2021-08-09,-28.0,-9.0,9.0,-48.0,-53.0,14.0,23.15,3877.0,8.0
