date,borough,Retail & recreation,Grocery & pharmacy,Parks,Transit stations,Workplaces,Residential
2021-07-21,Enfield,-13.571428571428571,4.285714285714286,55.285714285714285,-40.285714285714285,-28.571428571428573,6.428571428571429
2021-07-22,Enfield,-13.285714285714286,4.857142857142857,57.0,-40.57142857142857,-29.285714285714285,6.428571428571429
2021-07-23,Enfield,-13.571428571428571,4.571428571428571,54.0,-41.142857142857146,-30.285714285714285,6.714285714285714
2021-07-24,Enfield,-14.0,3.2857142857142856,50.142857142857146,-41.42857142857143,-30.714285714285715,7.0
2021-07-25,Enfield,-14.0,1.5714285714285714,43.714285714285715,-42.0,-31.285714285714285,7.285714285714286
2021-07-26,Enfield,-14.0,0.42857142857142855,44.142857142857146,-42.714285714285715,-32.42857142857143,7.285714285714286
2021-07-27,Enfield,-14.0,-0.5714285714285714,39.57142857142857,-43.285714285714285,-33.142857142857146,7.571428571428571
2021-07-28,Enfield,-14.571428571428571,-2.5714285714285716,33.285714285714285,-44.0,-34.142857142857146,7.857142857142857
2021-07-29,Enfield,-14.571428571428571,-3.857142857142857,33.857142857142854,-44.285714285714285,-35.0,8.0
2021-07-30,Enfield,-15.428571428571429,-5.428571428571429,26.142857142857142,-45.142857142857146,-35.57142857142857,8.142857142857142
2021-07-31,Enfield,-15.0,-5.857142857142857,24.571428571428573,-45.42857142857143,-35.42857142857143,8.0
2021-08-01,Enfield,-14.285714285714286,-5.571428571428571,29.142857142857142,-45.142857142857146,-35.142857142857146,7.857142857142857
2021-08-02,Enfield,-14.428571428571429,-5.857142857142857,28.714285714285715,-45.42857142857143,-35.285714285714285,8.0
2021-08-03,Enfield,-14.428571428571429,-6.428571428571429,30.714285714285715,-45.42857142857143,-35.57142857142857,7.857142857142857
2021-08-04,Enfield,-14.0,-6.142857142857143,38.857142857142854,-45.142857142857146,-35.714285714285715,7.571428571428571
2021-08-05,Enfield,-14.571428571428571,-6.857142857142857,33.57142857142857,-45.57142857142857,-35.857142857142854,7.714285714285714
2021-08-06,Enfield,-14.714285714285714,-6.714285714285714,36.57142857142857,-45.714285714285715,-36.0,7.714285714285714
2021-08-07,Enfield,-15.285714285714286,-7.0,34.857142857142854,-45.42857142857143,-36.857142857142854,7.857142857142857
2021-08-08,Enfield,-15.428571428571429,-6.714285714285714,33.0,-44.857142857142854,-37.142857142857146,7.857142857142857
2021-08-09,Enfield,-16.142857142857142,-7.714285714285714,25.428571428571427,-45.285714285714285,-37.285714285714285,8.0
2021-08-10,Enfield,-15.714285714285714,-7.285714285714286,29.285714285714285,-45.42857142857143,-37.285714285714285,8.0
2021-08-11,Enfield,-15.714285714285714,-7.571428571428571,29.142857142857142,-45.714285714285715,-37.42857142857143,8.0
2021-08-12,Enfield,-15.857142857142858,-7.428571428571429,30.142857142857142,-45.714285714285715,-37.42857142857143,7.857142857142857
2021-08-13,Enfield,-16.0,-7.571428571428571,33.0,-45.42857142857143,-37.57142857142857,7.714285714285714
2021-08-14,Enfield,-15.857142857142858,-7.571428571428571,36.857142857142854,-45.57142857142857,-37.142857142857146,7.285714285714286
2021-08-15,Enfield,-16.285714285714285,-8.142857142857142,37.57142857142857,-45.57142857142857,-36.714285714285715,7.142857142857143
2021-08-16,Enfield,-16.0,-7.714285714285714,40.42857142857143,-45.285714285714285,-36.714285714285715,7.0
2021-08-17,Enfield,-16.857142857142858,-8.428571428571429,31.428571428571427,-45.57142857142857,-36.857142857142854,7.142857142857143
2021-08-18,Enfield,-17.142857142857142,-8.428571428571429,27.714285714285715,-45.57142857142857,-36.714285714285715,7.142857142857143
2021-08-19,Enfield,-17.0,-8.428571428571429,29.571428571428573,-45.42857142857143,-36.714285714285715,7.142857142857143
2021-08-20,Enfield,-16.714285714285715,-8.285714285714286,29.285714285714285,-45.42857142857143,-36.42857142857143,7.142857142857143
2021-08-21,Enfield,-17.0,-8.428571428571429,23.142857142857142,-45.57142857142857,-36.285714285714285,7.428571428571429
2021-08-22,Enfield,-17.285714285714285,-8.571428571428571,20.714285714285715,-46.0,-36.142857142857146,7.571428571428571
2021-08-23,Enfield,-16.714285714285715,-8.428571428571429,22.857142857142858,-46.0,-36.0,7.428571428571429
2021-08-24,Enfield,-16.0,-8.142857142857142,28.571428571428573,-46.0,-35.714285714285715,7.285714285714286
2021-08-25,Enfield,-15.428571428571429,-7.571428571428571,31.428571428571427,-45.857142857142854,-35.714285714285715,7.285714285714286
2021-08-26,Enfield,-15.285714285714286,-7.142857142857143,28.571428571428573,-45.714285714285715,-35.714285714285715,7.142857142857143
