date,restriction
2021-03-16,Roadmap out of lockdown: Step 1.1
2021-03-17,Roadmap out of lockdown: Step 1.1
2021-03-18,Roadmap out of lockdown: Step 1.1
2021-03-19,Roadmap out of lockdown: Step 1.1
2021-03-20,Roadmap out of lockdown: Step 1.1
2021-03-21,Roadmap out of lockdown: Step 1.1
2021-03-22,Roadmap out of lockdown: Step 1.1
2021-03-23,Roadmap out of lockdown: Step 1.1
2021-03-24,Roadmap out of lockdown: Step 1.1
2021-03-25,Roadmap out of lockdown: Step 1.1
2021-03-26,Roadmap out of lockdown: Step 1.1
2021-03-27,Roadmap out of lockdown: Step 1.1
2021-03-28,Roadmap out of lockdown: Step 1.1
2021-03-29,Roadmap out of lockdown: Step 1.2
2021-03-30,Roadmap out of lockdown: Step 1.2
2021-03-31,Roadmap out of lockdown: Step 1.2
2021-04-01,Roadmap out of lockdown: Step 1.2
2021-04-02,Roadmap out of lockdown: Step 1.2
2021-04-03,Roadmap out of lockdown: Step 1.2
2021-04-04,Roadmap out of lockdown: Step 1.2
2021-04-05,Roadmap out of lockdown: Step 1.2
2021-04-06,Roadmap out of lockdown: Step 1.2
2021-04-07,Roadmap out of lockdown: Step 1.2
2021-04-08,Roadmap out of lockdown: Step 1.2
2021-04-09,Roadmap out of lockdown: Step 1.2
2021-04-10,Roadmap out of lockdown: Step 1.2
2021-04-11,Roadmap out of lockdown: Step 1.2
2021-04-12,Roadmap out of lockdown: Step 2
2021-04-13,Roadmap out of lockdown: Step 2
2021-04-14,Roadmap out of lockdown: Step 2
2021-04-15,Roadmap out of lockdown: Step 2
2021-04-16,Roadmap out of lockdown: Step 2
2021-04-17,Roadmap out of lockdown: Step 2
2021-04-18,Roadmap out of lockdown: Step 2
2021-04-19,Roadmap out of lockdown: Step 2
2021-04-20,Roadmap out of lockdown: Step 2
2021-04-21,Roadmap out of lockdown: Step 2
2021-04-22,Roadmap out of lockdown: Step 2
2021-04-23,Roadmap out of lockdown: Step 2
2021-04-24,Roadmap out of lockdown: Step 2
2021-04-25,Roadmap out of lockdown: Step 2
2021-04-26,Roadmap out of lockdown: Step 2
2021-04-27,Roadmap out of lockdown: Step 2
2021-04-28,Roadmap out of lockdown: Step 2
2021-04-29,Roadmap out of lockdown: Step 2
2021-04-30,Roadmap out of lockdown: Step 2
2021-05-01,Roadmap out of lockdown: Step 2
2021-05-02,Roadmap out of lockdown: Step 2
2021-05-03,Roadmap out of lockdown: Step 2
2021-05-04,Roadmap out of lockdown: Step 2
2021-05-05,Roadmap out of lockdown: Step 2
2021-05-06,Roadmap out of lockdown: Step 2
2021-05-07,Roadmap out of lockdown: Step 2
2021-05-08,Roadmap out of lockdown: Step 2
2021-05-09,Roadmap out of lockdown: Step 2
2021-05-10,Roadmap out of lockdown: Step 2
2021-05-11,Roadmap out of lockdown: Step 2
2021-05-12,Roadmap out of lockdown: Step 2
2021-05-13,Roadmap out of lockdown: Step 2
2021-05-14,Roadmap out of lockdown: Step 2
2021-05-15,Roadmap out of lockdown: Step 2
2021-05-16,Roadmap out of lockdown: Step 2
2021-05-17,Roadmap out of lockdown: Step 3
2021-05-18,Roadmap out of lockdown: Step 3
2021-05-19,Roadmap out of lockdown: Step 3
2021-05-20,Roadmap out of lockdown: Step 3
2021-05-21,Roadmap out of lockdown: Step 3
2021-05-22,Roadmap out of lockdown: Step 3
