date,Stringency Index
2021-12-18,38.89
2021-12-19,38.89
2021-12-20,38.89
2021-12-21,38.89
2021-12-22,38.89
2021-12-23,38.89
2021-12-24,38.89
2021-12-25,38.89
2021-12-26,38.89
2021-12-27,38.89
2021-12-28,38.89
2021-12-29,38.89
2021-12-30,38.89
2021-12-31,38.89
2022-01-01,38.89
2022-01-02,38.89
2022-01-03,38.89
2022-01-04,35.19
2022-01-05,35.19
2022-01-06,35.19
2022-01-07,35.19
2022-01-08,35.19
2022-01-09,35.19
2022-01-10,35.19
2022-01-11,35.19
2022-01-12,35.19
2022-01-13,35.19
2022-01-14,35.19
2022-01-15,35.19
2022-01-16,35.19
2022-01-17,35.19
2022-01-18,35.19
2022-01-19,35.19
2022-01-20,35.19
2022-01-21,35.19
2022-01-22,35.19
2022-01-23,35.19
2022-01-24,35.19
2022-01-25,35.19
2022-01-26,35.19
2022-01-27,16.67
2022-01-28,16.67
2022-01-29,16.67
2022-01-30,16.67
2022-01-31,16.67
2022-02-01,16.67
2022-02-02,16.67
2022-02-03,16.67
2022-02-04,16.67
2022-02-05,16.67
2022-02-06,16.67
2022-02-07,16.67
2022-02-08,16.67
2022-02-09,16.67
2022-02-10,16.67
2022-02-11,13.89
2022-02-12,13.89
2022-02-13,13.89
2022-02-14,13.89
2022-02-15,13.89
2022-02-16,13.89
2022-02-17,13.89
2022-02-18,13.89
2022-02-19,13.89
2022-02-20,13.89
2022-02-21,13.89
2022-02-22,13.89
2022-02-23,13.89
2022-02-24,13.89
2022-02-25,13.89
2022-02-26,13.89
2022-02-27,13.89
2022-02-28,13.89
2022-03-01,13.89
2022-03-02,13.89
2022-03-03,13.89
2022-03-04,13.89
2022-03-05,13.89
2022-03-06,13.89
2022-03-07,13.89
2022-03-08,13.89
2022-03-09,13.89
2022-03-10,13.89
2022-03-11,13.89
2022-03-12,13.89
2022-03-13,13.89
2022-03-14,13.89
2022-03-15,13.89
2022-03-16,13.89
2022-03-17,13.89
2022-03-18,11.11
2022-03-19,11.11
2022-03-20,11.11
2022-03-21,11.11
2022-03-22,11.11
2022-03-23,11.11
2022-03-24,11.11
2022-03-25,11.11
2022-03-26,11.11
2022-03-27,11.11
2022-03-28,11.11
