date,variable,value
2021-02-03,retail_and_recreation,-69.0
2021-02-04,retail_and_recreation,-69.0
2021-02-05,retail_and_recreation,-67.0
2021-02-06,retail_and_recreation,-70.0
2021-02-07,retail_and_recreation,-75.0
2021-02-08,retail_and_recreation,-69.0
2021-02-09,retail_and_recreation,-70.0
2021-02-10,retail_and_recreation,-67.0
2021-02-11,retail_and_recreation,-68.0
2021-02-12,retail_and_recreation,-68.0
2021-02-13,retail_and_recreation,-69.0
2021-02-14,retail_and_recreation,-68.0
2021-02-15,retail_and_recreation,-62.0
2021-02-16,retail_and_recreation,-65.0
2021-02-17,retail_and_recreation,-66.0
2021-02-18,retail_and_recreation,-65.0
2021-02-19,retail_and_recreation,-66.0
2021-02-20,retail_and_recreation,-65.0
2021-02-21,retail_and_recreation,-65.0
2021-02-22,retail_and_recreation,-63.0
2021-02-23,retail_and_recreation,-62.0
2021-02-24,retail_and_recreation,-64.0
2021-02-25,retail_and_recreation,-65.0
2021-02-26,retail_and_recreation,-62.0
2021-02-27,retail_and_recreation,-63.0
2021-02-28,retail_and_recreation,-64.0
2021-03-01,retail_and_recreation,-60.0
2021-03-02,retail_and_recreation,-63.0
2021-03-03,retail_and_recreation,-66.0
2021-03-04,retail_and_recreation,-65.0
2021-03-05,retail_and_recreation,-64.0
2021-03-06,retail_and_recreation,-65.0
2021-03-07,retail_and_recreation,-63.0
2021-03-08,retail_and_recreation,-58.0
2021-03-09,retail_and_recreation,-59.0
2021-03-10,retail_and_recreation,-67.0
2021-03-11,retail_and_recreation,-63.0
2021-03-12,retail_and_recreation,-64.0
2021-03-13,retail_and_recreation,-65.0
2021-03-14,retail_and_recreation,-64.0
2021-03-15,retail_and_recreation,-59.0
2021-03-16,retail_and_recreation,-62.0
2021-03-17,retail_and_recreation,-63.0
2021-03-18,retail_and_recreation,-64.0
2021-03-19,retail_and_recreation,-61.0
2021-03-20,retail_and_recreation,-65.0
2021-03-21,retail_and_recreation,-63.0
2021-03-22,retail_and_recreation,-56.0
2021-03-23,retail_and_recreation,-60.0
2021-03-24,retail_and_recreation,-61.0
2021-03-25,retail_and_recreation,-62.0
2021-03-26,retail_and_recreation,-64.0
2021-03-27,retail_and_recreation,-62.0
2021-03-28,retail_and_recreation,-66.0
2021-03-29,retail_and_recreation,-53.0
2021-03-30,retail_and_recreation,-55.0
2021-03-31,retail_and_recreation,-57.0
2021-04-01,retail_and_recreation,-54.0
2021-04-02,retail_and_recreation,-62.0
2021-04-03,retail_and_recreation,-65.0
2021-04-04,retail_and_recreation,-69.0
2021-04-05,retail_and_recreation,-61.0
2021-04-06,retail_and_recreation,-59.0
2021-04-07,retail_and_recreation,-60.0
2021-04-08,retail_and_recreation,-59.0
2021-04-09,retail_and_recreation,-61.0
2021-04-10,retail_and_recreation,-66.0
2021-04-11,retail_and_recreation,-61.0
2021-04-12,retail_and_recreation,-34.0
2021-04-13,retail_and_recreation,-42.0
2021-04-14,retail_and_recreation,-43.0
2021-04-15,retail_and_recreation,-45.0
2021-04-16,retail_and_recreation,-45.0
2021-04-17,retail_and_recreation,-46.0
2021-04-18,retail_and_recreation,-43.0
2021-04-19,retail_and_recreation,-40.0
2021-04-20,retail_and_recreation,-44.0
2021-04-21,retail_and_recreation,-45.0
2021-04-22,retail_and_recreation,-43.0
2021-04-23,retail_and_recreation,-44.0
2021-04-24,retail_and_recreation,-44.0
2021-04-25,retail_and_recreation,-43.0
2021-04-26,retail_and_recreation,-41.0
2021-04-27,retail_and_recreation,-43.0
2021-04-28,retail_and_recreation,-49.0
2021-04-29,retail_and_recreation,-44.0
2021-04-30,retail_and_recreation,-43.0
2021-05-01,retail_and_recreation,-44.0
2021-05-02,retail_and_recreation,-42.0
2021-05-03,retail_and_recreation,-40.0
2021-05-04,retail_and_recreation,-47.0
2021-05-05,retail_and_recreation,-47.0
2021-05-06,retail_and_recreation,-43.0
2021-05-07,retail_and_recreation,-44.0
2021-05-08,retail_and_recreation,-51.0
2021-05-09,retail_and_recreation,-40.0
2021-05-10,retail_and_recreation,-40.0
2021-05-11,retail_and_recreation,-41.0
2021-05-12,retail_and_recreation,-40.0
2021-05-13,retail_and_recreation,-46.0
2021-05-14,retail_and_recreation,-44.0
2021-05-15,retail_and_recreation,-45.0
2021-05-16,retail_and_recreation,-45.0
2021-05-17,retail_and_recreation,-36.0
2021-05-18,retail_and_recreation,-37.0
2021-05-19,retail_and_recreation,-37.0
2021-05-20,retail_and_recreation,-38.0
2021-05-21,retail_and_recreation,-41.0
2021-05-22,retail_and_recreation,-37.0
2021-05-23,retail_and_recreation,-37.0
2021-05-24,retail_and_recreation,-37.0
2021-05-25,retail_and_recreation,-37.0
2021-05-26,retail_and_recreation,-36.0
2021-05-27,retail_and_recreation,-30.0
2021-05-28,retail_and_recreation,-32.0
2021-05-29,retail_and_recreation,-33.0
2021-05-30,retail_and_recreation,-25.0
2021-05-31,retail_and_recreation,-21.0
2021-06-01,retail_and_recreation,-28.0
2021-06-02,retail_and_recreation,-30.0
2021-06-03,retail_and_recreation,-28.0
2021-06-04,retail_and_recreation,-39.0
2021-06-05,retail_and_recreation,-33.0
2021-06-06,retail_and_recreation,-31.0
2021-06-07,retail_and_recreation,-28.0
2021-06-08,retail_and_recreation,-30.0
2021-06-09,retail_and_recreation,-30.0
2021-06-10,retail_and_recreation,-30.0
2021-06-11,retail_and_recreation,-32.0
2021-06-12,retail_and_recreation,-34.0
2021-06-13,retail_and_recreation,-33.0
2021-06-14,retail_and_recreation,-30.0
2021-06-15,retail_and_recreation,-31.0
2021-06-16,retail_and_recreation,-32.0
2021-06-17,retail_and_recreation,-35.0
2021-06-18,retail_and_recreation,-40.0
2021-06-19,retail_and_recreation,-35.0
2021-06-20,retail_and_recreation,-29.0
2021-06-21,retail_and_recreation,-35.0
2021-06-22,retail_and_recreation,-31.0
2021-06-23,retail_and_recreation,-30.0
2021-06-24,retail_and_recreation,-30.0
2021-06-25,retail_and_recreation,-31.0
2021-06-26,retail_and_recreation,-31.0
2021-06-27,retail_and_recreation,-32.0
2021-06-28,retail_and_recreation,-30.0
2021-06-29,retail_and_recreation,-34.0
2021-06-30,retail_and_recreation,-32.0
2021-07-01,retail_and_recreation,-29.0
2021-07-02,retail_and_recreation,-32.0
2021-07-03,retail_and_recreation,-35.0
2021-07-04,retail_and_recreation,-30.0
2021-07-05,retail_and_recreation,-28.0
2021-07-06,retail_and_recreation,-33.0
2021-07-07,retail_and_recreation,-29.0
2021-07-08,retail_and_recreation,-31.0
2021-07-09,retail_and_recreation,-32.0
2021-07-10,retail_and_recreation,-33.0
2021-07-11,retail_and_recreation,-25.0
2021-07-12,retail_and_recreation,-34.0
2021-07-13,retail_and_recreation,-31.0
2021-07-14,retail_and_recreation,-30.0
2021-07-15,retail_and_recreation,-30.0
2021-07-16,retail_and_recreation,-30.0
2021-07-17,retail_and_recreation,-34.0
2021-07-18,retail_and_recreation,-33.0
2021-07-19,retail_and_recreation,-26.0
2021-07-20,retail_and_recreation,-31.0
2021-07-21,retail_and_recreation,-29.0
2021-07-22,retail_and_recreation,-28.0
2021-07-23,retail_and_recreation,-30.0
2021-07-24,retail_and_recreation,-35.0
2021-07-25,retail_and_recreation,-35.0
2021-07-26,retail_and_recreation,-25.0
2021-07-27,retail_and_recreation,-29.0
2021-07-28,retail_and_recreation,-32.0
2021-07-29,retail_and_recreation,-25.0
2021-07-30,retail_and_recreation,-33.0
2021-07-31,retail_and_recreation,-33.0
2021-08-01,retail_and_recreation,-27.0
2021-08-02,retail_and_recreation,-24.0
2021-08-03,retail_and_recreation,-27.0
2021-08-04,retail_and_recreation,-26.0
2021-08-05,retail_and_recreation,-29.0
2021-08-06,retail_and_recreation,-33.0
2021-08-07,retail_and_recreation,-35.0
2021-08-08,retail_and_recreation,-31.0
2021-08-09,retail_and_recreation,-28.0
2021-08-10,retail_and_recreation,-24.0
2021-08-11,retail_and_recreation,-25.0
2021-08-12,retail_and_recreation,-27.0
2021-08-13,retail_and_recreation,-31.0
2021-08-14,retail_and_recreation,-32.0
2021-08-15,retail_and_recreation,-27.0
2021-08-16,retail_and_recreation,-25.0
2021-08-17,retail_and_recreation,-28.0
2021-08-18,retail_and_recreation,-27.0
2021-08-19,retail_and_recreation,-26.0
2021-08-20,retail_and_recreation,-30.0
2021-08-21,retail_and_recreation,-34.0
2021-08-22,retail_and_recreation,-28.0
2021-08-23,retail_and_recreation,-22.0
2021-08-24,retail_and_recreation,-24.0
2021-08-25,retail_and_recreation,-24.0
2021-08-26,retail_and_recreation,-24.0
2021-08-27,retail_and_recreation,-27.0
2021-08-28,retail_and_recreation,-31.0
2021-08-29,retail_and_recreation,-22.0
2021-08-30,retail_and_recreation,-21.0
2021-08-31,retail_and_recreation,-25.0
2021-09-01,retail_and_recreation,-26.0
2021-09-02,retail_and_recreation,-24.0
2021-09-03,retail_and_recreation,-27.0
2021-09-04,retail_and_recreation,-28.0
2021-09-05,retail_and_recreation,-19.0
2021-09-06,retail_and_recreation,-20.0
2021-09-07,retail_and_recreation,-24.0
2021-09-08,retail_and_recreation,-25.0
2021-09-09,retail_and_recreation,-26.0
